"date","MFWRain","Ph2Rain","ET"
2016-07-01,0.56,0.08,0.19
2016-07-02,0.01,0.28,0.15
2016-07-03,0,0,0.19
2016-07-04,0,0,0.23
2016-07-05,0,0,0.23
2016-07-06,0,0.01,NA
2016-07-07,0.02,0,0.2
2016-07-08,0.01,0,0.23
2016-07-09,0,0,0.23
2016-07-10,0,0,0.19
2016-07-11,0,0,0.22
2016-07-12,0,2.46,0.2
2016-07-13,0,0.05,0.19
2016-07-14,0,0.2,0.19
2016-07-15,0,0,0.21
2016-07-16,0.58,0.17,0.2
2016-07-17,0,0.01,0.21
2016-07-18,0.06,0,0.16
2016-07-19,0.02,0.61,0.13
2016-07-20,0.29,0.01,0.18
2016-07-21,0.01,0,0.18
2016-07-22,0,0,0.15
2016-07-23,0.13,0.01,0.2
2016-07-24,0.02,0,0.19
2016-07-25,0.25,0,0.19
2016-07-26,0.02,0,0.21
2016-07-27,0.02,0,0.23
2016-07-28,0,0,0.22
2016-07-29,0.4,0,0.12
2016-07-30,0.01,0.01,0.15
2016-07-31,0,0,0.19
